country,year,GDP_Constant
Argentina,2023,714463604500
Argentina,2022,726162087500
Argentina,2021,689809934000
Argentina,2020,624591286200
Argentina,2019,693223803600
Argentina,2018,707377443000
Argentina,2017,726389947800
Argentina,2016,706477848600
Argentina,2015,721487146600
Argentina,2014,702306046000
Argentina,2013,720407105300
Argentina,2012,703485989500
Argentina,2011,710781597200
Argentina,2010,670523679400
Argentina,2009,608872876400
Argentina,2008,647176159700
Argentina,2007,621942502600
Argentina,2006,570549404200
Argentina,2005,528055942500
Argentina,2004,485115195200
Argentina,2003,444939093600
Argentina,2002,408812193300
Argentina,2001,458795611600
Argentina,2000,479956106900
Argentina,1999,483773071300
Argentina,1998,500724897600
Argentina,1997,482160842800
Argentina,1996,445986656500
Argentina,1995,422629248800
Argentina,1994,435006083700
Argentina,1993,411018234600
Argentina,1992,379844477800
Argentina,1991,351912181900
Argentina,1990,322461423550
Argentina,1989,330618488450
Argentina,1988,356104724290
Argentina,1987,360028798200
Argentina,1986,350546962680
Argentina,1985,330226858890
Argentina,1984,348300243340
Argentina,1983,342913961040
Argentina,1982,328621888570
Argentina,1981,331057342230
Argentina,1980,349178995840
Argentina,1979,343955061570
Argentina,1978,312054471110
Argentina,1977,326779566190
Argentina,1976,305589536220
Argentina,1975,311884142660
Argentina,1974,311972780690
Argentina,1973,295614075960
Argentina,1972,287529454900
Argentina,1971,282922301410
Argentina,1970,267771442210
Argentina,1969,259857121160
Argentina,1968,236924000870
Argentina,1967,226023992090
Argentina,1966,219032482640
Argentina,1965,220487093700
Argentina,1964,199410530600
Argentina,1963,181067821330
Argentina,1962,191218051890
Argentina,1961,192861271430
Argentina,1960,182932009390
