symbol,name,cik,cusip,isin,stock_exchange,long_description,ceo,company_url,business_phone_no,hq_address1,hq_address_city,hq_address_postal_code,hq_state,hq_country,employees,sector,industry_category,first_stock_price_date,is_etf,is_actively_trading,is_adr,is_fund,image,currency,market_cap,last_price,year_high,year_low,volume_avg,annualized_dividend_amount,beta,Stock
A,"Agilent Technologies, Inc.",0001090872,00846U101,US00846U1016,New York Stock Exchange,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid chromatography systems and components; liquid chromatography mass spectrometry systems; gas chromatography systems and components; gas chromatography mass spectrometry systems; inductively coupled plasma mass spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; inductively coupled plasma optical emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate reader; laboratory software; information management and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps, and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, gene expression profiling, next generation sequencing, target enrichment and genetic data management, and interpretation support software; and produces synthesized oligonucleotide. It also offers immunohistochemistry in situ hybridization, and hematoxylin and eosin staining and special staining; consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops liquid-based pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. Agilent Technologies, Inc. was incorporated in 1999 and is headquartered in Santa Clara, California.",Mr. Padraig  McDonnell,https://www.agilent.com,800 227 9770,5301 Stevens Creek Boulevard,Santa Clara,95051,CA,US,17900,Healthcare,Medical - Diagnostics & Research,1999-11-18,False,True,False,False,https://images.financialmodelingprep.com/symbol/A.png,USD,34357762530,120.51,155.35,117.17,1813791,0.956,1.111,A
AAPL,Apple Inc.,0000320193,037833100,US0378331005,NASDAQ Global Select,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts, as well as advertising services include third-party licensing arrangements and its own advertising platforms. In addition, the company offers various subscription-based services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",Mr. Timothy D. Cook,https://www.apple.com,(408) 996-1010,One Apple Park Way,Cupertino,95014,CA,US,150000,Technology,Consumer Electronics,1980-12-12,False,True,False,False,https://images.financialmodelingprep.com/symbol/AAPL.png,USD,3361194875000,223.75,260.1,164.08,52855600,1.0,1.178,AAPL
ABBV,AbbVie Inc.,0001551152,00287Y109,US00287Y1091,New York Stock Exchange,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal Behçet's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), and VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production, as well as other eye care products. AbbVie Inc. has a research collaboration with Dragonfly Therapeutics, Inc. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois.",Mr. Richard A. Gonzalez,https://www.abbvie.com,847 932 7900,1 North Waukegan Road,North Chicago,60064-6400,IL,US,55000,Healthcare,Drug Manufacturers - General,2013-01-02,False,True,False,False,https://images.financialmodelingprep.com/symbol/ABBV.png,USD,355435569000,201.34,218.66,153.58,6181867,6.29,0.598,ABBV
ABEV,Ambev S.A.,0001565025,02319V103,US02319V1035,New York Stock Exchange,"Ambev S.A., through its subsidiaries, produces, distributes, and sells beer, draft beer, carbonated soft drinks, other non-alcoholic beverages, malt, and food products in the Americas. The company operates through four segments: Brazil; Central America and the Caribbean; Latin America South; and Canada. It offers beer primarily under the Skol, Brahma, Antarctica, Brahva, Brahva Gold, Extra, Bud Light, Beck, Leffe and Hoegaarden, Bucanero, Cristal, Mayabe, Cacique, Presidente, Brahma Light, Presidente Light, Presidente Golden Light, Bohemia, The One, Corona, Modelo Especial, Stella Artois, and Budweiser, Quilmes Clásica, Paceña, Taquiña, Huari, Becker, Cusqueña, Michelob Ultra, Busch, Pilsen, Ouro Fino, Banks, Deputy, Patricia, Labatt Blue, Alexander Keith's, and Kokanee brands. The company also provides bottled water, isotonic beverages, energy drinks, coconut water, powdered and natural juices, and ready-to-drink teas under the Guaraná Antarctica, Gatorade, H2OH!, Lipton Iced Tea, Fusion, Do Bem, Pepsi, Canada Dry, Squirt, Red Rock, Pepsi-Cola, Seven Up, Nutrl, Bud Light Seltzer, Palm Bay, and Mike's brands. It offers its products through a network of third-party distributors and a direct distribution system. The company was founded in 1885 and is headquartered in São Paulo, Brazil. Ambev S.A. is a subsidiary of Interbrew International B.V.",Mr. Carlos Eduardo Klutzenschell Lisboa,https://www.ambev.com.br,55 11 2122 1414,"Rua Dr. Renato Paes de Barros, 1017",São Paulo,04530-001,SP,BR,43000,Consumer Defensive,Beverages - Alcoholic,1997-03-05,False,True,True,False,https://images.financialmodelingprep.com/symbol/ABEV.png,USD,36645990690,2.33,2.56,1.76,36784116,0.13,0.487,ABEV
ABNB,"Airbnb, Inc.",0001559720,009066101,US0090661010,NASDAQ Global Select,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms, primary homes, or vacation homes. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Mr. Brian  Chesky,https://www.airbnb.com,415 510 4027,888 Brannan Street,San Francisco,94103,CA,US,7300,Consumer Cyclical,Travel Services,2020-12-10,False,True,False,False,https://images.financialmodelingprep.com/symbol/ABNB.png,USD,81919891932,129.88,169.11,110.38,5120652,0.0,1.108,ABNB
ABT,Abbott Laboratories,0000001800,002824100,US0028241000,New York Stock Exchange,"Abbott Laboratories, together with its subsidiaries, discovers, develops, manufactures, and sells health care products worldwide. It operates in four segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency, irritable bowel syndrome or biliary spasm, intrahepatic cholestasis or depressive symptoms, gynecological disorder, hormone replacement therapy, dyslipidemia, hypertension, hypothyroidism, Ménière's disease and vestibular vertigo, pain, fever, inflammation, and migraine, as well as provides anti-infective clarithromycin, influenza vaccine, and products to regulate physiological rhythm of the colon. The Diagnostic Products segment offers laboratory systems in the areas of immunoassay, clinical chemistry, hematology, and transfusion; molecular diagnostics systems that automate the extraction, purification, and preparation of DNA and RNA from patient samples, as well as detect and measure infectious agents; point of care systems; cartridges for testing blood; rapid diagnostics lateral flow testing products; molecular point-of-care testing for HIV, SARS-CoV-2, influenza A and B, RSV, and strep A; cardiometabolic test systems; drug and alcohol test, and remote patient monitoring and consumer self-test systems; and informatics and automation solutions for use in laboratories. The Nutritional Products segment provides pediatric and adult nutritional products. The Medical Devices segment offers rhythm management, electrophysiology, heart failure, vascular, and structural heart devices for the treatment of cardiovascular diseases; and diabetes care products, as well as neuromodulation devices for the management of chronic pain and movement disorders. Abbott Laboratories was founded in 1888 and is based in North Chicago, Illinois.",Mr. Robert B. Ford,https://www.abbott.com,224 667 6100,100 Abbott Park Road,North Chicago,60064-6400,IL,US,114000,Healthcare,Medical - Devices,1980-03-17,False,True,False,False,https://images.financialmodelingprep.com/symbol/ABT.png,USD,217830592000,125.6,141.23,99.71,6685800,2.24,0.693,ABT
ACGL,Arch Capital Group Ltd.,0000947484,G0450A105,BMG0450A1053,NASDAQ Global Select,"Arch Capital Group Ltd., together with its subsidiaries, provides insurance, reinsurance, and mortgage insurance products worldwide. The company's Insurance segment offers primary and excess casualty coverages; loss sensitive primary casualty insurance programs; collateral protection, debt cancellation, and service contract reimbursement products; directors' and officers' liability, errors and omissions liability, employment practices and fiduciary liability, crime, professional indemnity, and other financial related coverages; medical professional and general liability insurance coverages; and workers' compensation and umbrella liability, as well as commercial automobile and inland marine products. It also provides property, energy, marine, and aviation insurance; travel insurance; accident, disability, and medical plan insurance coverages; captive insurance programs; employer's liability; and contract and commercial surety coverages. This segment markets its products through a group of licensed independent retail and wholesale brokers. Its Reinsurance segment provides casualty reinsurance for third party liability and workers' compensation exposures; marine and aviation; surety, accident and health, workers' compensation catastrophe, agriculture, trade credit, and political risk products; reinsurance protection for catastrophic losses, and personal lines and commercial property exposures; life reinsurance; casualty clash; and risk management solutions. This segment markets its reinsurance products through brokers. The company's Mortgage segment offers direct mortgage insurance and mortgage reinsurance. The company was incorporated in 1995 and is based in Pembroke, Bermuda.",Mr. Nicolas Alain Emmanuel Papadopoulo,https://www.archgroup.com,4412789250,Waterloo House,Pembroke,HM 08,,BM,7200,Financial Services,Insurance - Diversified,1995-09-14,False,True,False,False,https://images.financialmodelingprep.com/symbol/ACGL.png,USD,35501265060,94.58,116.47,87.42,1847393,5.0,0.603,ACGL
ACI,"Albertsons Companies, Inc.",0001646972,013091103,US0130911037,New York Stock Exchange,"Albertsons Companies, Inc., through its subsidiaries, engages in the operation of food and drug stores in the United States. The company's food and drug retail stores offer grocery products, general merchandise, health and beauty care products, pharmacy, fuel, and other items and services. It also manufactures and processes food products for sale in stores. As of February 26, 2022, it operated 2,276 stores under various banners, including Albertsons, Safeway, Vons, Pavilions, Randalls, Tom Thumb, Carrs, Jewel-Osco, Acme, Shaw's, Star Market, United Supermarkets, Market Street, Haggen, Kings Food Markets, and Balducci's Food Lovers Market; and 1,722 pharmacies, 1,317 in-store branded coffee shops, 402 adjacent fuel centers, 22 distribution centers, and 20 manufacturing facilities, as well as various digital platforms. The company was founded in 1860 and is headquartered in Boise, Idaho.",Mr. Vivek  Sankaran,https://www.albertsonscompanies.com,208 395 6200,250 Parkcenter Boulevard,Boise,83706,ID,US,108300,Consumer Defensive,Grocery Stores,2020-06-26,False,True,False,False,https://images.financialmodelingprep.com/symbol/ACI.png,USD,12056876990,20.81,22.05,17.0,6539861,0.51,0.35,ACI
ACM,AECOM,0000868857,00766T100,US00766T1007,New York Stock Exchange,"AECOM, together with its subsidiaries, provides professional infrastructure consulting services for governments, businesses, and organizations in the Americas, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Americas, International, and AECOM Capital. The company offers planning, consulting, architectural and engineering design, construction and program management, and investment and development services to commercial and government clients. It also invests in and develops real estate projects. In addition, the company provides construction services, including building construction and energy, and infrastructure and industrial construction. It serves transportation, water, government, facilities, environmental, and energy sectors. The company was formerly known as AECOM Technology Corporation and changed its name to AECOM in January 2015. AECOM was incorporated in 1980 and is headquartered Dallas, Texas.",Mr. W. Troy Rudd,https://www.aecom.com,972 788 1000,13355 Noel Road,Dallas,75240,TX,US,51000,Industrials,Engineering & Construction,2007-05-10,False,True,False,False,https://images.financialmodelingprep.com/symbol/ACM.png,USD,12573704400,94.76,118.56,82.23,1026444,0.92,1.218,ACM
ACN,Accenture plc,0001467373,G1151C101,IE00B4BNMY34,New York Stock Exchange,"Accenture plc, a professional services company, provides strategy and consulting, interactive, and technology and operations services worldwide. The company offers application services, including agile transformation, DevOps, application modernization, enterprise architecture, software and quality engineering, data management, intelligent automation comprises robotic process automation, natural language processing, and virtual agents, and liquid application management services, as well as program, project, and service management services; strategy consulting services; critical data elements, data management and governance, data platform and architecture, product-based organization and skills, business adoption, and value realization services; engineering, and research and development digitization; smart connected product design and development; product platform engineering and modernization; product as-a-service enablement; products related to production and operations; autonomous robotics systems; the digital transformation of capital projects; and digital industrial workforce solutions. It also provides data-enabled operating models; technology consulting and artificial intelligence services; services related to talent and organization/human potential; digital commerce; infrastructure services, such as hybrid cloud, network, digital workplace and collaboration, service and experience management, infrastructure as code, and managed edge and IoT devices; cyber defense, applied cybersecurity, managed security, OT security, security strategy and risk, and industry security products; services related to technology innovation; and intelligent automation services. In addition, the company offers cloud, ecosystem, marketing, supply chain management, zero-based budgeting, customer experience, finance consulting, mergers and acquisitions, and sustainability services. Accenture plc was founded in 1951 and is based in Dublin, Ireland.",Ms. Julie T. Spellman Sweet J.D.,https://www.accenture.com,353 1 646 2000,1 Grand Canal Square,Dublin,2,,IE,801000,Technology,Information Technology Services,2001-07-19,False,True,False,False,https://images.financialmodelingprep.com/symbol/ACN.png,USD,193379431400,308.9,398.35,278.69,3182847,5.92,1.239,ACN
