Stock,return,adjusted_price,close_price,period_ending,fiscal_period,fiscal_year,current_ratio,quick_ratio,cash_ratio,days_of_sales_outstanding,days_of_inventory_outstanding,operating_cycle,days_of_payables_outstanding,cash_conversion_cycle,gross_profit_margin,operating_profit_margin,pretax_profit_margin,net_profit_margin,effective_tax_rate,return_on_assets,return_on_equity,return_on_capital_employed,net_income_per_ebt,ebt_per_ebit,ebit_per_revenue,debt_ratio,debt_equity_ratio,long_term_debt_to_capitalization,total_debt_to_capitalization,cash_flow_to_debt_ratio,company_equity_multiplier,receivables_turnover,payables_turnover,inventory_turnover,fixed_asset_turnover,asset_turnover,operating_cash_flow_per_share,free_cash_flow_per_share,cash_per_share,payout_ratio,operating_cash_flow_sales_ratio,free_cash_flow_operating_cash_flow_ratio,cash_flow_coverage_ratios,short_term_coverage_ratios,capital_expenditure_coverage_ratio,dividend_paid_and_capex_coverage_ratio,dividend_payout_ratio,price_book_value_ratio,price_to_book_ratio,price_to_sales_ratio,price_earnings_ratio,price_to_free_cash_flows_ratio,price_to_operating_cash_flows_ratio,price_cash_flow_ratio,price_earnings_to_growth_ratio,price_sales_ratio,dividend_yield,enterprise_value_multiple,price_fair_value,interest_coverage
A,0.5384465000739848,157.05999755859375,157.05999755859375,2021-10-31,FY,2021,2.2242388758782203,1.7382903981264637,0.8688524590163934,67.69742047792373,104.03502747252747,171.73244795045116,55.90315934065934,115.82928860979185,0.539167589808514,0.2131666402911853,0.215223927836683,0.1914859946194018,0.1102941176470588,0.1130312937879495,0.2245314529597327,0.1497165721907302,0.8897058823529411,1.0096510764662212,0.2131666402911853,0.2549276039234003,0.5064019298571163,0.3361665434836166,0.3361665434836166,0.5441553682667644,1.9864538875487103,5.3916382252559725,6.5291479820627805,3.508433734939759,6.686772486772487,0.5902849135917796,4.884868421052632,4.2631578947368425,5.180921052631579,0.1950413223140495,0.235005538851084,0.8727272727272727,0.5441553682667644,,7.857142857142857,3.494117647058824,0.1950413223140495,8.859944331044721,8.859944331044721,7.555980376641874,39.45970247933885,36.84123456790123,32.15235016835017,32.15235016835017,0.5572188289506638,7.555980376641874,0.0049427975899254,28.40071884057971,8.859944331044721,16.62962962962963
A,-0.11912639593731092,138.35000610351562,138.35000610351562,2022-10-31,FY,2022,2.030091348737238,1.4723267060720042,0.5658248253627082,74.88682827102804,121.1996161228407,196.0864443938688,67.72232885476647,128.36411553910227,0.5435163551401869,0.2362733644859813,0.219626168224299,0.1831191588785046,0.1662234042553191,0.1190657045195594,0.2363807728557964,0.1865990081882136,0.8337765957446809,0.9295426452410384,0.2362733644859813,0.2629130269654386,0.5219604147031103,0.3400099527245583,0.3429526876393361,0.4738172625496569,1.985296889726673,4.874021352313167,5.389655172413793,3.0115606936416186,6.225454545454546,0.6502088872009115,4.387959866220736,3.4147157190635453,3.5217391304347827,0.1993620414673046,0.1915887850467289,0.7782012195121951,0.4738172625496569,36.44444444444444,4.508591065292096,2.425138632162662,0.1993620414673046,7.797672007540057,7.797672007540057,6.040690712616822,32.9877591706539,40.51581782566112,31.529458841463416,31.529458841463416,6.2519657856762905,6.040690712616822,0.006043515730667,21.606143430290874,7.797672007540057,19.261904761904763
A,-0.2528370206992329,103.37000274658205,103.37000274658205,2023-10-31,FY,2023,2.611353711790393,1.9681846537741727,0.991890205864005,68.96165666617884,111.73248218527316,180.694138851452,45.2998812351544,135.3942576162976,0.507097907214986,0.1975706132006439,0.1959607785745646,0.1814722669398507,0.0739357729648991,0.1152095140760011,0.2121471343028229,0.1473799126637554,0.9260642270351008,0.991851851851852,0.1975706132006439,0.2541113072563412,0.4679213002566296,0.3187645687645687,0.3187645687645687,0.6478976234003656,1.8414029084687769,5.292796281951976,8.057416267942584,3.2667313288069835,4.798455056179775,0.6348601690978352,6.0272108843537415,5.01360544217687,5.408163265306122,0.2137096774193548,0.2593297234011415,0.8318284424379232,0.6478976234003656,,5.946308724832215,3.147424511545293,0.2137096774193548,5.199449101796408,5.199449101796408,4.4476481779599,24.508693548387097,20.617896879240163,17.150553047404063,17.150553047404063,34.230475322581526,4.4476481779599,0.008719749871507,18.51778038755138,5.199449101796408,14.210526315789474
A,0.26061714323503277,130.30999755859375,130.30999755859375,2024-10-31,FY,2024,2.0891820580474936,1.5762532981530344,0.7013192612137203,74.23348694316437,119.25378151260504,193.48726845576945,66.25210084033614,127.23516761543328,0.543010752688172,0.2285714285714285,0.2336405529953917,0.1980030721966205,0.1525312294543064,0.1088131014688502,0.2185486605629026,0.1495327102803738,0.8474687705456936,1.0221774193548387,0.2285714285714285,0.2861725476954246,0.5747711088504578,0.361895488477767,0.3649870801033592,0.516519174041298,2.008477449983045,4.9169184290030215,5.50925925925926,3.0606995884773665,3.661417322834646,0.5495525915920986,6.037931034482758,4.73448275862069,4.582758620689655,0.2125678820791311,0.2689708141321044,0.7841233580810966,0.516519174041298,38.91111111111111,4.632275132275132,2.6855828220858897,0.2125678820791311,6.407239742285521,6.407239742285521,5.804900153609832,29.317222653219552,27.523597960670067,21.58189605939464,21.58189605939464,5.623576345299365,5.804900153609832,0.0072506145822031,26.7815188172043,6.407239742285521,15.5
AAPL,0.3085144261333538,146.9199981689453,146.9199981689453,2021-09-25,FY,2021,1.0745531195957954,1.022114901857652,0.2784485300563432,51.39096870839792,11.27659274770989,62.667561456107805,93.8510712223156,-31.18350976620781,0.4177935962516778,0.2978237752756159,0.2985290459437369,0.2588179335569424,0.1330226084408508,0.2697420527518361,1.5007132667617689,0.4830991348920943,0.8669773915591491,1.0023680804780215,0.2978237752756159,0.3889493507159503,2.163924552226977,0.6336151826987851,0.6839368374646815,0.76206032727326,5.563512442542399,7.102415252591931,3.889140478060004,32.367933130699086,7.386213580471258,1.042207736708053,6.229345884552985,5.56562398361035,3.750552652516527,0.1527989015631601,0.284399030116151,0.8934523923950864,0.76206032727326,6.663549606097483,9.385475868290484,4.071618659987476,0.1527989015631601,38.89286546584245,38.89286546584245,6.707591178758778,25.916253509083223,26.39775889148279,23.585140835463964,23.585140835463964,0.3634864369282435,6.707591178758778,0.0058958715429144,21.253174105611603,38.89286546584245,41.19054820415879
AAPL,0.02389051559066688,150.42999267578125,150.42999267578125,2022-09-24,FY,2022,0.8793560286267226,0.8472353911496149,0.1535634035146965,56.400204905560855,8.07569806661716,64.47590297217802,104.6852773031054,-40.209374330927375,0.4330963056136008,0.3028874439552859,0.3020404333448296,0.2530964070519973,0.162044616844244,0.2829244092925685,1.969588727502368,0.6008713457059057,0.8379553831557559,0.997203546639651,0.3028874439552859,0.3755581069013904,2.614461635617304,0.6613535965140913,0.7233336245304447,0.9220335144927536,6.961536943479634,6.471607693822622,3.486641191608828,45.19733117670845,7.506148399131991,1.1178523337727315,7.532762624088375,6.872425646259799,2.9787931805221803,0.1487029448012584,0.309770039155221,0.9123380078754983,0.9220335144927536,5.786404547607769,11.407452372058277,4.781048181924929,0.1487029448012584,48.14034011071204,48.14034011071204,6.186137718067193,24.441823533260525,21.888923611981014,19.97009696269372,19.97009696269372,2.8871904048664,6.186137718067193,0.006083954603424,19.52031403229637,48.14034011071204,40.74957352439441
AAPL,0.13813743967183914,171.2100067138672,171.2100067138672,2023-09-30,FY,2023,0.9880116717592976,0.9444421504665952,0.206217138767308,58.07564866874519,10.791292490321617,68.8669411590668,106.72146803214764,-37.85452687308083,0.4413112957720756,0.2982141226502472,0.296740023742124,0.2530623426432028,0.1471917422803685,0.2750983456377647,1.5607601454639075,0.551446146423833,0.8528082577196314,0.9950569111381352,0.2982141226502472,0.3150690759338936,1.7875325845589418,0.6052392537493568,0.6412597988847455,0.995093979547746,5.673462491552152,6.284906124456834,3.420117870661705,33.82356657716001,7.04878990731205,1.087077369016657,7.021174930677783,6.325110448392176,3.909686030394244,0.1549048920047425,0.2884094081427658,0.9008621079579892,0.995093979547746,6.99329411020434,10.08696048909572,4.254271859605911,0.1549048920047425,43.37479145093811,43.37479145093811,7.032807935374461,27.790811789370583,27.06830203155125,24.384807626986785,24.384807626986785,170.91349250462116,7.032807935374461,0.0055739606737213,22.06877117715785,43.37479145093811,29.062039155860667
AAPL,0.33047125958486934,227.7899932861328,227.7899932861328,2024-09-28,FY,2024,0.8673125765340832,0.8260068483831466,0.1697525964896367,61.83255974529134,12.642570548414088,74.47513029370543,119.65847721913744,-45.18334692543202,0.4620634981523393,0.3151022287007556,0.3157901466620635,0.2397125576994386,0.2409118516418998,0.2568250315085758,1.6459350307287095,0.6533607652660827,0.7590881483581001,1.0021831580314244,0.3151022287007556,0.2921502548084826,1.872326602282704,0.6009110021023125,0.6518501763673821,1.109022873702276,6.408779631255487,5.903038811648023,3.0503480278422272,28.870710952511665,8.560310858143607,1.0713874732862074,7.706965094592383,7.091275991064264,4.247388013764271,0.1625202696936075,0.3024128274962599,0.920112638895936,1.109022873702276,5.663777000814215,12.517624642743728,4.791296949070135,0.1625202696936075,61.37243774486391,61.37243774486391,8.93822887866815,37.287278415656736,32.12256867269569,29.55638142954995,29.55638142954995,-45.93792700808932,8.93822887866815,0.0043585983369965,26.524727497716487,61.37243774486391,
ABBV,0.2636490151032104,135.39999389648438,135.39999389648438,2021-12-31,FY,2021,0.7935443541512758,0.7046655679945445,0.2769222026481787,64.8007011050412,65.44308150865528,130.24378261369648,60.29634300126104,69.94743961243545,0.6895563820132747,0.31894941011086,0.2311333345196362,0.2053846290727263,0.1108630379551928,0.0787693903595875,0.7490913811007269,0.1609916019221269,0.8885980444991917,0.7246708324034814,0.31894941011086,0.5233366773812692,4.976895119418484,0.8064248652587409,0.8326890500803544,0.2970241510614991,9.509929906542055,5.632655106745514,6.0534351145038165,5.577365728900256,10.997455968688843,0.3835213507223826,12.868361581920905,12.423728813559322,5.553672316384181,0.8023739386588113,0.4053063330782782,0.9654476006497784,0.2970241510614991,1.8228891556622648,28.941550190597205,2.266819267515924,0.8023739386588113,15.5541277258567,15.5541277258567,4.2646048721462,20.76399237567146,10.89849931787176,10.521930017122536,10.521930017122536,0.1511618644948882,4.2646048721462,0.0386425656560598,10.841442715700142,15.5541277258567,7.397441188609162
ABBV,0.1935746521074823,161.61000061035156,161.61000061035156,2022-12-31,FY,2022,0.9636062021802424,0.8424402464621843,0.3114970546414787,70.75670927067902,75.01636614218445,145.77307541286348,61.497071321924885,84.27600409093859,0.7000378957522306,0.3120715196196644,0.2321459330967719,0.2038791470010679,0.1210951992283149,0.0852707035049169,0.6859858583516866,0.1658048633164633,0.878236996364176,0.7438869570017111,0.3120715196196644,0.4558265192176074,3.667033731308682,0.7741297830839519,0.7857311393977026,0.3942248423448341,8.044801205517562,5.158521414608139,5.935241990456714,4.865604917574742,11.763728470111449,0.4182414178163611,14.084133258046302,13.691699604743082,5.211180124223603,0.8485130111524164,0.4296517035863162,0.9721364711542316,0.3942248423448341,6.030705996131528,35.889208633093524,2.322872043211026,0.8485130111524164,16.58811348093196,16.58811348093196,4.9300876769903885,24.181421933085502,11.803501732101616,11.474614521108126,11.474614521108126,9.217389066258471,4.9300876769903885,0.0350894589036331,10.828707675661914,16.58811348093196,8.124215246636771
