country,year,Broad_Money
Argentina,2023,68924197828064.5
Argentina,2022,26658073798159.6
Argentina,2021,14203565491000.0
Argentina,2020,9388817978000.0
Argentina,2019,5644655829000.0
Argentina,2018,4484008469000.0
Argentina,2017,3037661976000.0
Argentina,2016,2334518369000.0
Argentina,2015,1648856767000.0
Argentina,2014,1182398044000.0
Argentina,2013,910614093000.0
Argentina,2012,716870110000.0
Argentina,2011,531401310000.0
Argentina,2010,422751817000.0
Argentina,2009,316009865000.0
Argentina,2008,270094095000.0
Argentina,2007,249937394000.0
Argentina,2006,200808370000.0
Argentina,2005,166974724000.0
Argentina,2004,137412015000.0
Argentina,2003,113164011000.0
Argentina,2002,87294434000.0
Argentina,2001,72922287000.0
Argentina,2000,90514975371.93
Argentina,1999,89150058000.0
Argentina,1998,85650721000.0
Argentina,1997,77520318000.0
Argentina,1996,61752085000.0
Argentina,1995,51970875000.0
Argentina,1994,53471032000.0
Argentina,1993,45453000000.0
Argentina,1992,31030000000.0
Argentina,1991,19097000000.0
Argentina,1990,7913000000.0
Argentina,1989,652203080.0
Argentina,1988,27929433.6
Argentina,1987,5145383.2
Argentina,1986,1955360.1
Argentina,1985,917943.4
Argentina,1984,173802.9
Argentina,1983,23021.3
Argentina,1982,4642.1
Argentina,1981,1749.85
Argentina,1980,958.4
Argentina,1979,499.8
Argentina,1978,173.9
Argentina,1977,63.8
Argentina,1976,19.5
Argentina,1975,4.3
Argentina,1974,1.7
Argentina,1973,1.1
Argentina,1972,0.63
Argentina,1971,0.3
Argentina,1970,0.276
Argentina,1969,0.2284
Argentina,1968,0.1889
Argentina,1967,0.1475
Argentina,1966,0.0959
Argentina,1965,0.0729
Argentina,1964,0.0574
Argentina,1963,0.0406
Argentina,1962,0.0305
Argentina,1961,0.0277
Argentina,1960,0.0278
